Name,PlayoffGames,PlayoffGS,PlayoffERA,PlayoffW,PlayoffL,PlayoffSV,PlayoffCG,PlayoffIP,PlayoffHits,PlayoffRuns,PlayoffER,PlayoffBB,PlayoffSO,PlayoffWHIP,PlayoffWPA,PlayoffcWPA,RSGames,RSGS,RSERA,RSW,RSL,RSSV,RSIP,RSH,RSBB,RSSO,RSWHIP
Matt Barnes\barnema01,1,0,0.00,0,0,0,0,1.0,1,0,0,2,1,3.000,0.00,0.01%,60,0,3.79,6,5,24,54.2,41,20,84,1.116
Ryan Brasier\brasiry01,3,0,9.00,0,0,0,0,2.0,3,2,2,0,4,1.500,-0.33,-4.55%,13,0,1.50,1,1,0,12.0,12,4,9,1.333
Austin Davis*\davisau01,1,0,0.00,0,0,0,0,0.1,0,0,0,1,0,3.000,0.02,0.18%,*29,0,5.13,1,2,0,26.1,24,12,28,1.367
Nathan Eovaldi\eovalna01,1,1,3.60,0,0,0,0,5.0,3,2,2,1,8,0.800,0.10,1.14%,32,32,3.75,11,9,0,182.1,182,35,195,1.190
Tanner Houck\houckta01,2,0,3.00,1,0,0,0,6.0,3,2,2,0,6,0.500,0.11,0.93%,18,13,3.52,1,5,1,69.0,57,21,87,1.130
Adam Ottavino\ottavad01,1,0,0.00,0,0,0,0,1.0,0,0,0,0,0,0.000,0.00,0.01%,69,0,4.21,7,3,11,62.0,55,35,71,1.452
Nick Pivetta\pivetni01,2,0,3.12,1,0,0,0,8.2,7,3,3,3,11,1.154,0.55,6.54%,31,30,4.53,9,8,1,155.0,137,65,175,1.303
Garrett Richards\richaga01,1,0,0.00,0,0,0,0,0.1,0,0,0,0,0,0.000,0.02,0.21%,40,22,4.87,7,8,3,136.2,158,60,115,1.595
Hansel Robles\robleha01,2,0,10.80,0,0,0,0,1.2,4,2,2,0,3,2.400,-0.30,-3.55%,*72,0,4.43,3,5,14,69.0,58,37,76,1.377
Eduardo Rodriguez*\rodried05,2,2,5.40,0,1,0,0,6.2,5,4,4,2,7,1.050,-0.01,0.50%,32,31,4.74,13,8,0,157.2,172,47,185,1.389
Chris Sale*\salech01,1,1,45.00,0,0,0,0,1.0,4,5,5,1,2,5.000,-0.45,-4.20%,9,9,3.16,5,1,0,42.2,45,12,52,1.336
Josh Taylor*\taylojo02,3,0,0.00,0,0,0,0,2.0,1,0,0,0,1,0.500,0.11,1.31%,61,0,3.40,1,0,1,47.2,45,23,60,1.427
Garrett Whitlock\whitlga01,2,0,0.00,1,0,0,0,3.1,0,0,0,1,3,0.300,0.62,7.81%,46,0,1.96,8,4,2,73.1,64,17,81,1.105
