Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Baltimore Orioles,62,26.7,4.07,162,5983,5420,659,1296,266,15,195,632,54,23,451,1454,.239,.304,.402,.705,91,2177,105,65,14,31,12,1046
Boston Red Sox,56,28.0,5.12,162,6122,5495,829,1434,330,23,219,783,40,21,512,1386,.261,.328,.449,.777,104,2467,100,61,10,42,22,1093
Chicago White Sox,47,28.0,4.91,162,6084,5357,796,1373,275,22,190,757,57,20,586,1389,.256,.336,.422,.758,108,2262,139,78,24,39,10,1125
Cleveland Indians,48,26.7,4.43,162,5907,5332,717,1269,248,22,203,686,109,17,453,1387,.238,.303,.407,.710,93,2170,105,64,20,36,18,987
Detroit Tigers,49,28.1,4.30,162,5979,5376,697,1299,236,37,179,675,88,25,490,1514,.242,.308,.399,.707,95,2146,113,44,17,50,8,1031
Houston Astros,52,28.9,5.33,162,6291,5593,863,1496,299,14,221,834,53,16,569,1222,.267,.339,.444,.783,113,2486,136,64,9,54,25,1159
Kansas City Royals,48,29.3,4.23,162,5993,5427,686,1349,251,29,163,647,124,33,421,1258,.249,.306,.396,.702,89,2147,100,55,31,52,8,1050
Los Angeles Angels,64,29.2,4.46,162,6016,5437,723,1331,265,23,190,691,79,26,464,1394,.245,.310,.407,.717,95,2212,107,59,30,25,35,1029
Minnesota Twins,57,28.3,4.50,162,6078,5431,729,1311,271,17,228,690,54,15,525,1405,.241,.314,.423,.738,103,2300,122,70,7,42,17,1092
New York Yankees,59,29.3,4.39,162,6060,5331,711,1266,213,12,222,666,63,18,621,1482,.237,.322,.407,.729,100,2169,154,63,10,34,14,1097
Oakland Athletics,50,30.1,4.59,162,6104,5395,743,1284,271,19,199,698,88,20,545,1349,.238,.317,.406,.723,103,2190,99,98,17,49,17,1084
Seattle Mariners,63,27.0,4.30,162,6010,5355,697,1209,233,11,199,673,64,24,535,1492,.226,.303,.385,.688,92,2061,92,72,9,36,8,1040
Tampa Bay Rays,61,27.7,5.29,162,6213,5507,857,1336,288,36,222,810,88,42,585,1542,.243,.321,.429,.750,111,2362,75,72,6,41,27,1085
Texas Rangers,54,26.8,3.86,162,5943,5405,625,1254,225,24,167,598,106,29,433,1381,.232,.294,.375,.670,83,2028,113,58,16,31,10,1007
Toronto Blue Jays,62,26.8,5.22,162,6070,5476,846,1455,285,13,262,816,81,20,496,1218,.266,.330,.466,.797,113,2552,112,51,10,35,14,1056

