Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Baltimore Orioles,42,28.1,5.90,52,110,.321,5.84,162,162,161,1,5,1,26,1402.0,1518,956,910,258,563,12,1234,68,7,88,6252,78,5.15,1.484,9.7,1.7,3.6,7.9,2.19,1103
Boston Red Sox,37,29.7,4.62,92,70,.568,4.26,162,162,162,0,7,0,49,1419.0,1409,749,671,176,546,31,1527,79,6,63,6147,111,3.95,1.378,8.9,1.1,3.5,9.7,2.80,1163
Chicago White Sox,27,28.3,3.93,93,69,.574,3.73,162,162,158,4,13,3,43,1403.1,1205,636,581,182,485,16,1588,51,6,84,5861,116,3.74,1.204,7.7,1.2,3.1,10.2,3.27,1029
Cleveland Indians,25,26.3,4.49,80,82,.494,4.34,162,162,162,0,9,0,39,1408.0,1281,727,679,216,522,12,1391,59,8,52,5968,100,4.43,1.281,8.2,1.4,3.3,8.9,2.66,1035
Detroit Tigers,29,27.3,4.67,77,85,.475,4.32,162,162,160,2,7,1,42,1419.2,1370,756,681,199,571,10,1259,82,3,80,6164,101,4.60,1.367,8.7,1.3,3.6,8.0,2.20,1174
Houston Astros,32,28.7,4.06,95,67,.586,3.78,162,162,160,2,8,0,34,1445.0,1231,658,607,187,549,12,1456,70,4,72,6060,114,4.12,1.232,7.7,1.2,3.4,9.1,2.65,1092
Kansas City Royals,30,27.9,4.86,74,88,.457,4.64,162,162,161,1,7,0,37,1417.1,1375,788,731,189,591,16,1344,62,9,86,6127,99,4.39,1.387,8.7,1.2,3.8,8.5,2.27,1101
Los Angeles Angels,41,28.6,4.96,77,85,.475,4.69,162,162,161,1,4,0,39,1421.2,1373,804,741,188,592,18,1453,76,11,56,6196,95,4.25,1.382,8.7,1.2,3.7,9.2,2.45,1141
Minnesota Twins,35,29.8,5.15,73,89,.451,4.83,162,162,161,1,9,0,42,1419.1,1392,834,762,239,484,13,1317,62,3,48,6080,89,4.66,1.322,8.8,1.5,3.1,8.4,2.72,1017
New York Yankees,30,29.3,4.13,92,70,.568,3.74,162,162,159,3,13,2,47,1435.1,1243,669,596,196,492,10,1569,56,8,85,5999,115,3.90,1.209,7.8,1.2,3.1,9.8,3.19,1048
Oakland Athletics,27,30.1,4.24,86,76,.531,4.02,162,162,159,3,11,3,39,1433.0,1362,687,640,191,439,11,1332,64,2,63,6060,101,4.10,1.257,8.6,1.2,2.8,8.4,3.03,1089
Seattle Mariners,38,28.0,4.62,90,72,.556,4.30,162,162,161,1,10,0,51,1440.1,1356,748,688,197,485,23,1328,69,3,58,6106,99,4.26,1.278,8.5,1.2,3.0,8.3,2.74,1065
Tampa Bay Rays,41,28.8,4.02,100,62,.617,3.67,162,162,161,1,13,0,42,1455.2,1264,651,593,184,436,27,1478,55,6,64,5998,110,3.79,1.168,7.8,1.1,2.7,9.1,3.39,1009
Texas Rangers,32,27.8,5.03,60,102,.370,4.79,162,162,162,0,3,0,31,1424.1,1402,815,758,232,513,11,1239,61,0,67,6103,92,4.76,1.344,8.9,1.5,3.2,7.8,2.42,1040
Toronto Blue Jays,38,29.1,4.09,91,71,.562,3.91,162,162,161,1,14,1,34,1405.1,1257,663,610,209,473,10,1468,75,4,54,5916,115,4.18,1.231,8.1,1.3,3.0,9.4,3.10,1054
League Average,31,28.5,4.58,82,80,.507,4.32,162,162,161,1,9,1,40,1423,1336,743,683,203,516,15,1399,66,5,68,6069,101,4.28,1.301,8.4,1.3,3.3,8.8,2.71,1077
